Kanal;Norlys Vaelg Frit (Pris for kanal);Norlys Vaelg 8 (mulig at vaelge=1);Norlys Vaelg Alt (Med i pakke=1, ikke med=0);Stofa pakkeloesning (lille=0,mellem=1,stor=2);Stofa Vaelg Selv (Point);Yousee Play (Point);Allente Stream TV (Basic=0,Standard=1,Premium=2);Allente Parabol TV (Basic=0,Standard=1,Premium=2)
TV2;49;1;1;0;0;3;0;0
TV2 Charlie;39;1;1;0;0;2;0;0
TV2 Fri;39;1;1;1;1;2;0;0
TV2 News;39;1;1;1;1;2;0;0
TV2 Sport;39;1;1;2;2;3;2;2
TV2 SportX;39;1;1;2;2;3;2;2
TV2 Echo;39;1;1;1;1;2;0;0
TV3;49;1;1;0;0;3;0;0
TV3 Max;39;1;1;2;2;3;2;2
TV3+;99;1;1;1;3;4;0;0
TV3 Puls;39;1;1;0;0;2;0;0
TV3 Sport;49;1;1;2;3;3;2;2
Kanal 4;39;1;1;0;0;;0;0
Kanal 5;49;1;1;0;0;;0;0
6'eren;39;1;1;1;1;;0;0
Canal 9;39;1;1;2;1;;2;2
Discovery Channel;29;1;1;1;1;;1;1
DK4;29;1;1;0;0;1;0;0
National Geographic;29;1;1;1;1;1;1;1
3Sat;;;;;1;3;;
Al-Jazeera;;;;;1;1;;1
Animal Planet;29;1;1;2;1;;1;1
ARD;0;0;0;;;0;;
ARTE;;;;;1;1;;
BBC Brit;;;;;1;1;1;1
BBC Earth;;;;;1;1;1;1
BBC World News;;;;;1;1;1;1
Blue Hustler;;;;;1;2;;
Boomerang;;1;1;2;1;1;;1
Cartoon Network;;1;1;1;1;1;;1
CBS Reality;;;;;1;1;;
CNN;;1;1;2;1;1;;1
Disney Channel;29;1;1;1;1;1;1;1
Disney Junior;29;1;1;2;1;1;1;1
Euronews;;;;;1;1;;
Eurosport 1;29;1;1;2;1;;2;2
Eurosport 2;39;1;1;2;2;;2;2
ID-Investegation Discovery;29;1;1;2;1;;1;1
Mezzo;;;;;1;1;;
MTV;;;;2;1;1;;1
MTV 80s;;;;;1;1;;1
MTV 90s;;;;;1;1;;
MTV Hits;;;;;1;1;;
National Geographic Wild;;;;2;1;1;1;1
NDR;0;0;0;0;0;0;;
Nick jr.;;;;2;1;1;1;1
Nickelodeon;29;1;1;1;1;1;1;1
NRK1;0;0;0;0;0;0;;0
ZDF;0;0;0;0;0;0;;
SVT1;0;0;0;0;0;0;;0
Folketinget;;;;0;0;0;;
NRK2;;;;0;0;;;
TV4 Sverige;0;0;0;0;0;0;;0
SVT2;0;0;0;0;0;0;;0
TV2 Norge;0;0;0;0;0;;;
ProSieben;;;;;1;1;;
Rai 1;;;;;1;1;;
See;39;1;1;1;2;3;1;1
TLC;29;1;1;1;1;;1;1
VH1;29;1;1;2;1;1;;1
V sport golf;;;;2;1;1;;
Viasat Explore;;;;2;1;1;1;1
Viasat History;;;;2;1;1;1;1
Viasat Nature;;;;2;1;1;1;1
Discovery Science;;;;;1;;1;1
ESC/ESC1;;;;;1;;;
Extreme Sport;;;;;1;;;
HRT-TV1;;;;;1;;;
MTV Club;;;;;1;;;
MTV Live;;;;;1;;;
Polonia;;;;;1;;;
Sport Live;;1;1;0;0;1;2;2
