Kanal,NorlysPakkeloesningOTT_pakker,NorlysVaelg4OTT_binaer,NorlysVaelg8OTT_binaer,NorlysVaelg20OTT_binaer,StofaPakkeloesning_pakker,StofaVaelgSelv_point,YouseePlay_point,AllenteStreamTV_pakker,AllenteParabolTV_pakker
TV2,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0
TV2 Charlie,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
TV2 Fri,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0
TV2 News,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0
TV2 Sport,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0
TV2 SportX,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0
TV2 Echo,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0
TV3,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0
TV3 Max,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0
TV3+,1.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0
TV3 Puls,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
TV3 Sport,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0
Kanal 4,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
Kanal 5,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0
6'eren,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0
Canal 9,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,2.0
Discovery Channel,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
DK4,0.0,1.0,1.0,1.0,0.0,0.0,1,0.0,0.0
National Geographic,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
Animal Planet,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0
ARD,0.0,0.0,0.0,0.0,,,0,,
BBC Nordic,,1.0,1.0,1.0,,,1,1.0,1.0
BBC News,,1.0,1.0,1.0,,1.0,1,1.0,1.0
Blue Hustler,,,,,,1.0,2,,
Cartoonito,,1.0,1.0,1.0,2.0,1.0,1,,1.0
Cartoon Network,1.0,1.0,1.0,1.0,1.0,1.0,1,,1.0
CNN,2.0,1.0,1.0,1.0,2.0,1.0,1,,1.0
Disney Channel,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
Disney Junior,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0
Eurosport 1,2.0,1.0,1.0,1.0,2.0,1.0,2,2.0,2.0
Eurosport 2,2.0,1.0,1.0,1.0,2.0,2.0,2,2.0,2.0
ID-Investigation Discovery,2.0,1.0,1.0,1.0,2.0,1.0,1,1.0,1.0
MTV,2.0,1.0,1.0,1.0,2.0,1.0,1,1.0,1.0
National Geographic Wild,1.0,1.0,1.0,1.0,2.0,1.0,1,,1.0
NDR,0.0,0.0,0.0,0.0,0.0,0.0,0,,
Nick jr.,2.0,1.0,1.0,1.0,2.0,1.0,1,1.0,1.0
Nickelodeon,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
NRK1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
ZDF,0.0,0.0,0.0,0.0,0.0,0.0,0,,
SVT1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
NRK2,,,,,0.0,0.0,,,
TV4 Sverige,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
SVT2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
TV2 Norge,0.0,0.0,0.0,0.0,0.0,0.0,,,
ProSieben,,,,,,1.0,1,,
See,1.0,1.0,1.0,1.0,1.0,2.0,3,2.0,1.0
TLC,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
V sport golf,2.0,1.0,1.0,1.0,2.0,1.0,1,,
Viasat Explore,2.0,1.0,1.0,1.0,2.0,1.0,1,1.0,1.0
Viasat History,2.0,1.0,1.0,1.0,2.0,1.0,1,1.0,1.0
Viasat Nature,2.0,1.0,1.0,1.0,2.0,1.0,1,1.0,1.0
Discovery Science,,1.0,1.0,1.0,,1.0,,1.0,1.0
Sport Live,0.0,1.0,1.0,1.0,0.0,0.0,1,2.0,2.0
MTV 80s,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
MTV 90s,,1.0,1.0,1.0,,1.0,1.0,,
MTV Hits,,1.0,1.0,1.0,,1.0,1.0,,
MTV Club,,1.0,1.0,1.0,,1.0,,,
MTV Live,,1.0,1.0,1.0,,1.0,,,
Mezzo,,1.0,1.0,1.0,,1.0,1.0,,
Al-Jazeera,,1.0,1.0,1.0,,1.0,1.0,,1.0
Rai 1,,1.0,1.0,1.0,,1.0,1.0,,
TVE,,1.0,1.0,1.0,,1.0,1.0,,
TV5 Monde,,1.0,1.0,1.0,,1.0,1.0,,
Euronews,,1.0,1.0,1.0,,1.0,1.0,,
