Streamingtjeneste,Norlys Vaelg Frit (Pris for kanal),Norlys Vaelg 8 (mulig at vaelge=1),"Norlys Vaelg Alt (Med i pakke=1, ikke med=0)","Stofa pakkeloesning (lille=0,mellem=1,stor=2)",Stofa Vaelg Selv (Point),Yousee Play (Point),"Allente Stream TV (Basic=0,Standard=1,Premium=2)","Allente Parabol TV (Basic=0,Standard=1,Premium=2)",Allente streamingtilvalg (pris)
TV2 PLAY Basis,,1.0,1.0,2.0,2.0,19.0,,,
TV2 PLAY Favorit+Sport,,,,2.0,8.0,19.0,,,
TV2 PLAY Favorit+Sport (u. reklamer),,,,,,19.0,,,
Disney+,,,,,,5.0,,,
HBO Max,,1.0,79.0,,4.0,7.0,,,69.0
Netflix Standard,,,,,,11.0,,,
Netflix Premium,,,,,,15.0,,,
Nordisk Film+,,1.0,49.0,2.0,3.0,4.0,,,
C More,,,,,5.0,9.0,,,99.0
SkyShowtime,,,,,,6.0,,1.0,59.0
Discovery+ Underholdning,,1.0,1.0,2.0,2.0,,,,79.0
Discovery+ Sport,,,,,8.0,,,,129.0
Viaplay (Film og Serier),,1.0,1.0,1.0,6.0,10.0,0.0,0.0,79.0
Viaplay Total,,,1.0,2.0,,,2.0,2.0,189.0
