Streamingtjeneste,NorlysVaelgAltDTT_binaer,NorlysPakkeloesningOTT_pakker,NorlysVaelg4OTT_binaer,NorlysVaelg8OTT_binaer,NorlysVaelg20OTT_binaer,StofaPakkeloesning_pakker,StofaVaelgSelv_point
TV2 PLAY Basis,1.0,2.0,1.0,1.0,1.0,2.0,2.0
TV2 PLAY Favorit+Sport,1.0,2.0,,,,2.0,8.0
TV2 PLAY Favorit+Sport (u. reklamer),,,,,,,
Disney+ Premium,,,,,,,
Max,1.0,2.0,1.0,1.0,1.0,,
Netflix Standard,,,,,,,
Netflix Premium,,,,,,,
Nordisk Film+,59.0,2.0,1.0,1.0,1.0,2.0,3.0
SkyShowtime,,,1.0,1.0,1.0,,
Viaplay (Film og Serier),1.0,1.0,1.0,1.0,1.0,1.0,6.0
Viaplay (Film og Serier) (m. reklamer),,,,,,,
Viaplay Total,1.0,2.0,,,,2.0,
Viaplay Premium,,,,,,,
