Streamingtjeneste,Pris
TV2 Play Basis (Uden reklamer),0
TV2 Play Basis (Med reklamer),0
TV2 Play Favorit (Uden reklamer),0
TV2 Play Favorit (Med reklamer),0
TV2 Play Favorit + Sport (Uden reklamer),0
TV2 Play Favorit + Sport (Med reklamer),0
Discovery+ Underholdning (med reklamer),0
Discovery+ Underholdning,0
Discovery+ Underholdning+Live,0
Disney+,0
Disney+ (Pris for årlig betaling),0
HBO Max,0
HBO Max (Pris for årlig betaling),0
Netflix Basis,0
Netflix Standard,0
Netflix Premium,0
Viaplay Film & Serier,0
Viaplay Total,0
Skyshowtime,0
Skyshowtime (Pris ved årlig betaling),0
Nordisk Film +,0
C More,0
